URL;Kürzel;Name
http://www.cdu.de/;CDU;Christlich Demokratische Union Deutschlands
http://www.spd.de/;SPD;Sozialdemokratische Partei Deutschlands
http://www.fdp.de/;FDP;Freie Demokraten
http://www.gruene.de/;GRÜNE;Bündnis 90/Die Grünen
http://www.die-linke.de/;DIE LINKE;Die Linke
http://www.csu.de/;CSU;Christlich-Soziale Union in Bayern
http://www.afd.de/;AfD;Alternative für Deutschland
http://www.freiewaehler.eu/;FREIE WÄHLER;Freie Wähler
http://www.ssw.de/;SSW;Südschleswigscher Wählerverband
http://www.bvb-fw.de/brandenburger/;BVB;Vereinigte Bürgerbewegungen/Freie Wähler
http://buerger-in-wut.de/;BIW;Bürger in Wut
http://www.lkr.de/;LKR;Liberal-Konservative Reformer
http://www.familien-partei.de/;FAMILIE;Familien-Partei Deutschlands
http://www.zeitzuhandeln-bayern.de/;MUT;mut
http://npd.de/;NPD;Nationaldemokratische Partei Deutschlands
http://www.oedp.de/;ÖDP;Ökologisch-Demokratische Partei
http://www.die-partei.de/;Die Partei;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
http://piratenpartei.de/;PIRATEN;Piratenpartei Deutschland
http://www.bayernpartei.de/;BP;Bayernpartei
http://www.rep.de/;REP;Die Republikaner
http://www.buendnis-c.de/;Bündnis C;Bündnis C – Christen für Deutschland
http://www.dkp.de/;DKP;Deutsche Kommunistische Partei
http://www.mlpd.de/;MLPD;Marxistisch-Leninistische Partei Deutschlands
http://www.tierschutzpartei.de/;Tierschutzpartei;Partei Mensch Umwelt Tierschutz
http://v-partei.de/;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
http://www.pro-deutschland-online.de/;pro Deutschland;Bürgerbewegung pro Deutschland
http://www.bueso.de/;BüSo;Bürgerrechtsbewegung Solidarität
http://www.dsu-deutschland.de/;DSU;Deutsche Soziale Union
